iter	RMSE
0	18.63437535
1	18.21019807
2	17.7543153
3	17.17155162
4	16.75130877
5	16.26807727
6	15.78329126
7	15.32972186
8	14.96303795
9	14.59193666
10	14.15152801
11	13.80949343
12	13.49352251
13	13.13449398
14	12.83906454
15	12.49608323
16	12.16237873
17	11.85208765
18	11.56290548
19	11.26129719
20	11.01912684
21	10.79807375
22	10.54770654
23	10.30671213
24	10.04201125
25	9.78722413
26	9.583316032
27	9.391342302
28	9.166006453
29	8.984626735
30	8.771617236
31	8.615403219
32	8.461720469
33	8.272265243
34	8.096397747
35	7.906351882
36	7.738096668
37	7.598757504
38	7.440473908
39	7.308017546
40	7.19945891
41	7.056183887
42	6.916181865
43	6.797281701
44	6.678060686
45	6.603185726
46	6.50281544
47	6.39833334
48	6.296633446
49	6.168796733
50	6.07725887
51	5.982816247
52	5.914664913
53	5.820951486
54	5.741869257
55	5.62711038
56	5.535614315
57	5.447601647
58	5.370680865
59	5.277622692
60	5.204495774
61	5.126204481
62	5.051320164
63	4.970587361
64	4.887126797
65	4.837032085
66	4.772741807
67	4.723488943
68	4.658803084
69	4.596422116
70	4.542592986
71	4.487842478
72	4.414194968
73	4.349551936
74	4.303359676
75	4.260872035
76	4.207214393
77	4.163192046
78	4.117495041
79	4.074230638
80	4.026895238
81	3.97327991
82	3.921539606
83	3.877696576
84	3.8359983
85	3.791966743
86	3.746102294
87	3.697898435
88	3.649588296
89	3.600910019
90	3.568586489
91	3.517635837
92	3.477981424
93	3.431320931
94	3.3903469
95	3.347073957
96	3.305985841
97	3.2572515
98	3.214105031
99	3.192658106
100	3.163823809
101	3.127797528
102	3.088691163
103	3.049684429
104	3.012064868
105	2.967664908
106	2.93244395
107	2.891301017
108	2.857873511
109	2.827573736
110	2.798393798
111	2.770582772
112	2.735138573
113	2.705850513
114	2.662981891
115	2.642670076
116	2.607607882
117	2.591436964
118	2.560320235
119	2.533667528
120	2.510590958
121	2.481396473
122	2.457170065
123	2.436589085
124	2.401522471
125	2.373133483
126	2.340198216
127	2.303998645
128	2.282780625
129	2.245030531
130	2.209215888
131	2.175697968
132	2.147327567
133	2.122852223
134	2.092485939
135	2.069991988
136	2.049442059
137	2.031180998
138	2.005333331
139	1.989401247
140	1.96391269
141	1.945529891
142	1.918543288
143	1.896232913
144	1.869890447
145	1.847495065
146	1.822636331
147	1.807160057
148	1.789084421
149	1.769938633
150	1.754816383
151	1.740276682
152	1.721109014
153	1.696031815
154	1.681641823
155	1.660507815
156	1.64078306
157	1.621206034
158	1.608991582
159	1.594111857
160	1.580369142
161	1.563591701
162	1.545995486
163	1.531276721
164	1.518824984
165	1.498024676
166	1.486571101
167	1.471979942
168	1.460604266
169	1.444020478
170	1.42832175
171	1.419055087
172	1.40824632
173	1.394605979
174	1.379415179
175	1.367951637
176	1.357617608
177	1.348722745
178	1.339047262
179	1.328079038
180	1.320134727
181	1.301225061
182	1.292468088
183	1.282179117
184	1.268014066
185	1.258039682
186	1.250855707
187	1.239715948
188	1.22822479
189	1.217639032
190	1.21152375
191	1.198679136
192	1.19461495
193	1.184215027
194	1.180250574
195	1.170315514
196	1.166166608
197	1.16211815
198	1.153497741
199	1.147892043
200	1.144013224
201	1.132550198
202	1.12869357
203	1.117511177
204	1.112147439
205	1.101262272
206	1.096000972
207	1.085258016
208	1.080561977
209	1.067594764
210	1.055043468
211	1.043044893
212	1.032476836
213	1.022311015
214	1.009245761
215	0.9950198866
216	0.982655094
217	0.9690758785
218	0.9655885014
219	0.9562938007
220	0.9449122048
221	0.9412468595
222	0.9366389444
223	0.9326546106
224	0.9211130556
225	0.9179615641
226	0.9089905857
227	0.8965121773
228	0.8934611311
229	0.8904844489
230	0.8822765447
231	0.8704709832
232	0.8604910951
233	0.8531405255
234	0.8493132718
235	0.8455962496
236	0.8384125718
237	0.8352181451
238	0.8325380699
239	0.8260477086
240	0.8236630847
241	0.8206396016
242	0.8172479029
243	0.807911139
244	0.805454871
245	0.7942727749
246	0.7917400588
247	0.7892716748
248	0.778525477
249	0.776047748
250	0.7691008256
251	0.7658888833
252	0.763340059
253	0.7568413658
254	0.7537719923
255	0.7430369729
256	0.7353331144
257	0.7304117153
258	0.72443505
259	0.7215651537
260	0.711714873
261	0.7055982326
262	0.6983106935
263	0.6955275637
264	0.6928195285
265	0.6901844641
266	0.6843710286
267	0.6818002241
268	0.6726670848
269	0.6662197505
270	0.6594945647
271	0.6569818989
272	0.6534358753
273	0.6480635318
274	0.6456538134
275	0.6380667879
276	0.6321310051
277	0.6259723253
278	0.6236272887
279	0.6213457724
