iter	Passed	Remaining
0	1	1160
1	2	1019
2	2	961
3	3	962
4	4	970
5	5	971
6	6	956
7	7	952
8	8	935
9	9	940
10	10	948
11	11	941
12	12	938
13	13	937
14	14	933
15	15	928
16	15	922
17	16	923
18	17	922
19	18	919
20	19	916
21	20	916
22	21	915
23	22	912
24	23	911
25	24	909
26	25	906
27	25	900
28	26	899
29	27	897
30	28	895
31	29	894
32	30	892
33	31	892
34	32	890
35	33	888
36	34	887
37	34	885
38	35	884
39	36	880
40	37	879
41	38	878
42	39	874
43	40	875
44	41	874
45	42	872
46	43	871
47	43	872
48	44	871
49	45	869
50	46	867
51	47	865
52	48	863
53	49	863
54	50	863
55	51	861
56	51	858
57	52	856
58	53	854
59	54	853
60	55	854
61	56	853
62	57	851
63	58	849
64	58	847
65	59	848
66	60	848
67	61	847
68	62	845
69	63	844
70	64	843
71	65	842
72	66	841
73	67	840
74	68	840
75	69	839
76	69	838
77	70	836
78	71	836
79	72	835
80	73	835
81	74	834
82	75	832
83	76	831
84	77	829
85	77	828
86	78	826
87	79	823
88	80	821
89	81	819
90	81	816
91	82	815
92	83	814
93	84	812
94	85	810
95	85	808
96	86	806
97	87	803
98	88	803
99	89	804
100	90	804
101	91	804
102	92	802
103	93	801
104	94	801
105	95	802
106	95	800
107	96	798
108	97	796
109	98	794
110	98	792
111	99	792
112	100	792
113	101	790
114	102	788
115	103	787
116	104	785
117	104	784
118	105	783
119	106	782
120	107	780
121	108	779
122	109	777
123	109	775
124	110	774
125	111	774
126	112	772
127	113	770
128	113	768
129	114	767
130	115	765
131	116	765
132	117	764
133	118	763
134	118	762
135	119	760
136	120	758
137	121	757
138	122	756
139	123	755
140	123	754
141	124	751
142	125	750
143	125	748
144	126	746
145	127	746
146	128	747
147	129	745
148	130	743
149	130	742
150	131	740
151	132	739
152	133	738
153	134	738
154	135	736
155	135	735
156	136	733
157	137	732
158	138	731
159	139	731
160	140	730
161	140	729
162	141	727
163	142	726
164	143	725
165	144	725
166	145	724
167	146	723
168	146	722
169	147	721
170	148	720
171	149	718
172	150	717
173	151	716
174	151	716
175	152	714
176	153	714
177	154	713
178	155	713
179	156	712
180	157	711
181	158	710
182	158	708
183	159	707
184	160	706
185	161	706
186	162	706
187	163	704
188	163	703
189	164	702
190	165	700
191	166	699
192	167	699
193	168	698
194	168	697
195	169	695
196	170	694
197	171	693
198	172	692
199	173	692
200	173	690
201	174	689
202	175	688
203	176	687
204	176	686
205	177	685
206	178	685
207	179	684
208	180	682
209	181	681
210	182	680
211	182	679
212	183	678
213	184	677
214	185	676
215	186	675
216	186	674
217	187	673
218	188	671
219	189	671
220	190	670
221	191	669
222	191	667
223	192	666
224	193	665
225	193	664
226	194	663
227	195	663
228	196	661
229	197	660
230	198	660
231	199	658
232	199	657
233	200	657
234	201	657
235	202	655
236	203	654
237	204	653
238	204	652
239	205	651
240	206	650
241	207	649
242	208	648
243	208	647
244	209	646
245	210	645
246	211	644
247	212	643
248	213	642
249	213	641
250	214	640
251	215	638
252	215	637
253	216	636
254	217	636
255	218	635
256	219	634
257	220	633
258	220	631
259	221	630
260	222	629
261	223	629
262	224	628
263	224	627
264	225	625
265	226	624
266	227	623
267	228	622
268	229	622
269	229	621
270	230	620
271	231	619
272	232	617
273	232	616
274	233	615
275	234	615
276	235	614
277	236	613
278	236	612
279	237	611
280	238	610
281	239	609
282	240	608
283	241	607
284	241	606
285	242	605
286	243	604
287	244	603
288	244	602
289	245	601
290	246	600
291	247	599
292	248	599
293	249	598
294	250	597
295	251	597
296	252	596
297	252	595
298	253	594
299	254	593
300	255	592
301	255	591
302	256	590
303	257	590
304	258	588
305	259	587
306	259	586
307	260	585
308	261	584
309	262	584
310	263	583
311	264	582
312	264	581
313	265	580
314	266	579
315	267	578
316	268	578
317	269	577
318	269	576
319	270	575
320	271	574
321	272	573
322	273	572
323	274	571
324	274	570
325	275	569
326	276	568
327	277	567
328	278	567
329	279	566
330	279	565
331	280	564
332	281	563
333	282	562
334	283	561
335	283	560
336	284	560
337	285	559
338	286	558
339	287	557
340	287	556
341	288	555
342	289	554
343	290	554
344	291	553
345	292	552
346	293	551
347	293	550
348	294	549
349	295	548
350	296	548
351	297	547
352	297	546
353	298	545
354	299	544
355	300	543
356	301	542
357	302	541
358	302	540
359	303	539
360	304	538
361	305	537
362	305	536
363	306	536
364	307	535
365	308	534
366	309	534
367	310	533
368	311	532
369	312	532
370	313	531
371	314	530
372	315	529
373	315	528
374	316	527
375	317	527
376	318	526
377	319	525
378	320	524
379	321	523
380	321	522
381	322	521
382	323	521
383	324	520
384	325	519
385	326	518
386	326	517
387	327	516
388	328	515
389	329	515
390	330	514
391	330	513
392	331	512
393	332	511
394	333	510
395	333	509
396	334	508
397	335	507
398	336	507
399	337	506
400	338	505
401	338	504
402	339	503
403	340	502
404	341	501
405	342	500
406	343	499
407	344	499
408	345	498
409	346	498
410	347	497
411	347	496
412	348	495
413	349	494
414	350	493
415	351	492
416	352	492
417	352	491
418	353	490
419	354	489
420	355	488
421	355	487
422	356	486
423	357	485
424	358	485
425	359	484
426	360	483
427	360	482
428	361	481
429	362	480
430	363	479
431	364	478
432	365	478
433	365	477
434	366	476
435	367	475
436	368	474
437	369	473
438	370	472
439	370	471
440	371	470
441	372	470
442	373	469
443	374	468
444	375	467
445	375	466
446	376	465
447	377	465
448	378	464
449	379	463
450	380	462
451	381	462
452	381	461
453	382	460
454	383	459
455	384	458
456	385	457
457	386	456
458	386	456
459	387	455
460	388	454
461	389	453
462	389	452
463	391	451
464	391	450
465	392	449
466	393	448
467	394	448
468	394	447
469	395	446
470	396	445
471	397	444
472	398	443
473	398	442
474	399	441
475	400	440
476	401	439
477	402	439
478	403	438
479	403	437
480	404	436
481	405	435
482	406	434
483	406	433
484	407	433
485	408	432
486	409	431
487	410	430
488	411	429
489	411	428
490	412	427
491	413	427
492	414	426
493	415	425
494	416	424
495	417	423
496	418	423
497	418	422
498	419	421
499	420	420
500	421	419
501	422	419
502	423	418
503	424	417
504	425	416
505	425	415
506	426	414
507	427	414
508	428	413
509	429	412
510	430	411
511	431	411
512	432	410
513	432	409
514	433	408
515	434	407
516	435	406
517	436	406
518	437	405
519	438	404
520	439	403
521	439	402
522	440	401
523	441	401
524	442	400
525	443	399
526	444	398
527	444	397
528	445	396
529	446	396
530	447	395
531	448	394
532	449	393
533	450	392
534	450	391
535	451	390
536	452	390
537	453	389
538	454	388
539	454	387
540	455	386
541	456	385
542	457	384
543	458	384
544	458	383
545	459	382
546	460	381
547	461	380
548	462	379
549	462	378
550	463	378
551	464	377
552	465	376
553	466	375
554	467	374
555	467	373
556	467	372
557	468	371
558	469	370
559	470	369
560	471	368
561	471	367
562	472	366
563	473	365
564	473	364
565	474	364
566	475	363
567	476	362
568	477	361
569	477	360
570	478	359
571	479	358
572	480	357
573	481	357
574	482	356
575	482	355
576	483	354
577	484	353
578	485	352
579	486	352
580	487	351
581	487	350
582	488	349
583	489	348
584	490	347
585	490	346
586	491	346
587	492	345
588	493	344
589	494	343
590	495	342
591	495	341
592	496	340
593	497	340
594	498	339
595	499	338
596	500	337
597	500	336
598	501	335
599	502	334
600	503	334
601	504	333
602	504	332
603	505	331
604	506	330
605	507	329
606	507	328
607	508	328
608	509	327
609	510	326
610	511	325
611	512	324
612	513	323
613	514	323
614	515	322
615	515	321
616	516	320
617	517	319
618	518	318
619	519	318
620	520	317
621	520	316
622	521	315
623	522	315
624	523	314
625	524	313
626	525	312
627	526	311
628	527	311
629	528	310
630	529	309
631	530	309
632	531	308
633	532	307
634	533	306
635	534	305
636	534	304
637	535	304
638	537	303
639	537	302
640	538	301
641	539	300
642	540	299
643	541	299
644	542	298
645	543	297
646	543	296
647	544	295
648	545	294
649	546	294
650	546	293
651	547	292
652	548	291
653	549	290
654	550	289
655	551	289
656	551	288
657	552	287
658	553	286
659	554	285
660	555	284
661	556	283
662	556	283
663	557	282
664	558	281
665	559	280
666	560	279
667	561	278
668	561	277
669	562	277
670	563	276
671	564	275
672	565	274
673	566	273
674	566	272
675	567	272
676	568	271
677	569	270
678	570	269
679	571	268
680	571	267
681	572	267
682	573	266
683	574	265
684	575	264
685	576	263
686	577	262
687	577	262
688	578	261
689	579	260
690	580	259
691	581	258
692	582	257
693	583	257
694	583	256
695	584	255
696	585	254
697	586	253
698	587	252
699	587	251
700	588	251
701	589	250
702	590	249
703	591	248
704	591	247
705	592	246
706	593	246
707	594	245
708	595	244
709	596	243
710	596	242
711	597	241
712	598	241
713	599	240
714	600	239
715	601	238
716	601	237
717	602	236
718	603	235
719	604	235
720	605	234
721	605	233
722	606	232
723	607	231
724	608	230
725	609	229
726	610	229
727	610	228
728	611	227
729	612	226
730	613	225
731	614	224
732	615	224
733	616	223
734	616	222
735	617	221
736	618	220
737	619	219
738	619	218
739	620	218
740	621	217
741	622	216
742	623	215
743	624	214
744	625	213
745	625	213
746	626	212
747	627	211
748	628	210
749	629	209
750	629	208
751	630	208
752	631	207
753	632	206
754	633	205
755	634	204
756	635	203
757	635	202
758	636	202
759	637	201
760	638	200
761	639	199
762	639	198
763	640	197
764	641	197
765	642	196
766	643	195
767	643	194
768	644	193
769	645	192
770	646	191
771	647	191
772	647	190
773	648	189
774	649	188
775	650	187
776	651	186
777	651	186
778	652	185
779	653	184
780	654	183
781	655	182
782	656	181
783	656	180
784	657	180
785	658	179
786	659	178
787	660	177
788	661	176
789	661	175
790	662	175
791	663	174
792	664	173
793	665	172
794	665	171
795	666	170
796	667	170
797	668	169
798	669	168
799	670	167
800	671	166
801	671	165
802	672	165
803	673	164
804	674	163
805	674	162
806	675	161
807	676	160
808	677	159
809	678	159
810	679	158
811	679	157
812	680	156
813	681	155
814	682	154
815	683	154
816	684	153
817	685	152
818	686	151
819	687	150
820	688	150
821	689	149
822	689	148
823	690	147
824	691	146
825	692	145
826	693	144
827	693	144
828	694	143
829	695	142
830	696	141
831	697	140
832	697	139
833	698	139
834	699	138
835	700	137
836	701	136
837	701	135
838	702	134
839	703	134
840	704	133
841	705	132
842	706	131
843	706	130
844	707	129
845	708	128
846	708	128
847	709	127
848	710	126
849	711	125
850	712	124
851	713	123
852	713	123
853	714	122
854	715	121
855	716	120
856	717	119
857	718	118
858	718	118
859	719	117
860	720	116
861	721	115
862	722	114
863	723	113
864	724	113
865	725	112
866	726	111
867	727	110
868	727	109
869	728	108
870	729	108
871	730	107
872	731	106
